scenario_id,compute_units,total_loss,rate_loss,credit_loss,fx_loss,equity_option_loss,other_loss
SP-008,3,1763.911681,21.202434,1589.242111,-5.445984,187.480224,-28.567103
SP-011,3,1427.824914,3.960225,-18.866966,478.679294,965.373444,-1.321083
SP-017,3,4485.426740,37.778917,334.259857,52.495267,4158.172288,-97.279590
SP-019,3,4900.534005,-10.879260,147.950314,79.341055,4768.257314,-84.135418
SP-027,3,3012.932798,85.299455,730.026285,-252.307965,2192.998957,256.916066
SP-029,3,2372.907328,-17.469450,1838.790988,7.429106,514.808598,29.348085
